"date","snow_height","degree_coverage","tmean","post_1","post_2","post_4","post_5","post_6","post_7","post_8","post_9","post_10","post_11","post_9387"
2008-02-10,42,10,-35.1,380,137,277,314,139,138,206,158,278,207,81
2008-02-11,42,10,-16.9,380,137,277,314,137,138,206,157,278,207,81
2008-02-12,43,10,-17.2,379,137,277,314,134,138,206,155,277,207,81
2008-02-13,43,10,-29.0,379,136,277,313,132,138,206,153,277,207,81
2008-02-14,43,10,-15.3,379,136,277,313,130,138,206,150,277,207,81
2008-02-15,45,10,-9.6,379,136,277,313,128,138,206,149,277,208,81
2008-02-16,45,10,-15.2,379,136,277,312,126,138,206,147,277,208,81
2008-02-17,45,10,-22.2,379,136,277,311,126,138,206,146,276,208,80
2008-02-18,45,10,-24.2,379,136,277,311,128,138,206,144,276,208,80
2008-02-19,45,10,-20.2,379,135,277,310,129,138,206,144,276,208,80
2008-02-20,45,10,-23.0,379,135,277,310,129,138,206,143,276,208,80
2008-02-21,45,10,-28.7,378,135,277,310,127,138,206,143,276,208,81
2008-02-22,45,10,-28.8,378,135,277,310,127,138,206,143,276,209,81
2008-02-23,45,10,-20.4,378,135,277,310,126,138,206,143,277,209,81
2008-02-24,45,10,-17.8,378,135,277,310,126,138,206,143,277,209,81
2008-02-25,45,10,-9.9,378,135,277,309,123,138,206,143,277,209,81
2008-02-26,46,10,-2.7,378,134,277,309,119,138,206,143,277,209,81
2008-02-27,46,10,-3.7,378,134,277,309,117,138,206,143,277,209,81
2008-02-28,46,10,-10.1,378,134,277,309,116,138,206,143,278,209,81
2008-02-29,48,10,-3.5,378,134,277,309,115,138,206,143,278,209,81
2008-03-01,48,10,-14.0,378,134,277,310,115,138,206,143,278,209,81
2008-03-02,49,10,-2.2,378,134,277,310,114,138,206,143,279,209,82
2008-03-03,49,10,-1.0,378,135,277,310,113,138,206,143,279,210,82
2008-03-04,49,10,-4.3,378,135,277,311,112,138,208,143,280,210,83
2008-03-05,49,10,-0.4,378,135,277,312,112,138,208,143,280,210,82
2008-03-06,49,10,-4.4,378,137,278,313,113,138,208,143,280,211,81
2008-03-07,49,10,-5.8,378,137,278,313,115,138,208,143,281,211,83
2008-03-08,45,10,-2.0,378,137,278,313,113,138,208,143,281,211,83
2008-03-09,46,10,-7.2,378,137,279,314,112,138,208,143,282,211,85
2008-03-10,46,10,-8.3,378,137,279,314,112,138,208,143,282,212,86
2008-03-11,46,10,-12.9,378,137,280,314,111,138,208,143,282,212,85
2008-03-12,45,10,-16.2,378,139,280,314,110,138,208,143,282,212,83
2008-03-13,45,10,-20.5,378,139,280,315,108,138,207,143,282,212,83
2008-03-14,45,10,-13.6,378,139,280,315,106,138,207,143,282,213,82
2008-03-15,46,10,-5.0,378,140,280,315,103,138,207,143,283,214,81
2008-03-16,49,10,-5.4,378,141,280,316,103,138,207,143,283,214,82
2008-03-17,48,10,-18.8,378,142,281,316,104,138,206,143,283,215,79
2008-03-18,48,10,-21.9,378,144,281,316,102,138,206,143,283,215,78
2008-03-19,48,10,-10.4,378,144,281,316,101,138,206,143,283,216,76
2008-03-20,48,10,-2.0,378,145,281,317,101,138,206,143,283,217,75
2008-03-21,55,10,-7.1,378,145,282,317,100,138,206,143,284,218,73
2008-03-22,55,10,-16.4,378,146,282,318,100,138,206,143,284,219,71
2008-03-23,52,10,-11.5,378,147,282,319,99,138,206,143,284,221,68
2008-03-24,51,10,2.3,378,147,282,320,99,138,206,143,285,223,68
2008-03-25,46,10,4.0,378,147,283,321,99,138,206,143,285,225,67
2008-03-26,44,10,-2.2,378,149,283,322,100,138,206,143,285,225,68
2008-03-27,43,10,-3.0,378,149,282,323,101,138,206,143,286,225,69
2008-03-28,42,10,-9.0,378,150,282,324,103,138,206,143,286,224,70
2008-03-29,42,10,-8.1,378,150,282,324,104,138,206,143,286,224,69
2008-03-30,42,10,0.7,377,150,282,325,102,138,206,143,286,224,70
2008-03-31,40,10,0.4,377,150,282,325,102,138,206,143,286,224,71
2008-04-01,40,10,-2.7,377,150,282,325,101,138,206,142,286,224,71
2008-04-02,40,10,0.8,377,150,282,325,100,138,206,140,286,224,72
2008-04-03,41,10,-1.8,377,150,282,325,99,138,206,139,286,224,72
2008-04-04,42,10,-12.5,377,150,282,325,98,138,206,136,286,222,71
2008-04-05,42,10,-16.6,377,150,282,325,98,138,206,135,286,221,72
2008-04-06,45,10,-8.1,377,150,282,324,96,138,206,133,286,221,71
2008-04-07,45,10,-11.6,377,150,282,324,93,138,206,133,285,220,70
2008-04-08,45,10,-9.5,377,150,282,324,93,138,206,132,284,220,71
2008-04-09,43,10,-7.5,377,150,282,324,93,138,206,132,284,219,70
2008-04-10,43,10,-12.5,377,150,282,324,93,138,206,132,283,219,70
2008-04-11,43,10,-2.4,377,150,282,324,93,138,206,132,283,219,71
2008-04-12,44,10,-12.5,377,150,282,324,92,138,206,132,283,218,71
2008-04-13,43,10,-10.0,377,150,282,324,91,138,206,132,283,218,71
2008-04-14,43,10,-13.1,377,150,282,324,91,138,206,132,283,218,72
2008-04-15,42,10,-5.7,377,150,282,324,91,138,206,132,283,218,72
2008-04-16,49,10,-5.5,377,150,282,324,91,138,206,132,282,218,71
2008-04-17,46,10,-9.9,377,150,282,324,90,138,206,132,281,219,71
2008-04-18,46,10,-5.2,377,150,282,324,90,138,206,132,281,220,71
2008-04-19,55,10,-5.8,377,150,282,324,90,138,206,132,281,220,71
2008-04-20,54,10,-11.4,377,150,282,324,91,138,206,132,281,221,72
2008-04-21,53,10,-9.7,377,150,282,325,91,138,206,132,280,221,74
2008-04-22,51,10,-3.2,377,150,282,325,91,138,206,132,280,226,75
2008-04-23,45,10,1.6,377,150,282,325,91,138,206,132,279,227,76
2008-04-24,44,10,-2.9,377,150,284,325,92,138,206,132,278,228,76
2008-04-25,42,10,3.6,377,150,286,325,96,138,206,132,279,230,77
2008-04-26,35,10,7.6,377,150,288,326,104,139,206,133,280,232,84
2008-04-27,25,10,0.7,377,152,289,329,113,141,207,133,281,233,87
2008-04-28,20,10,1.2,377,152,291,331,112,141,208,133,281,234,87
2008-04-29,19,10,2.1,377,152,292,333,110,142,208,133,282,237,89
2008-04-30,18,10,2.3,377,152,294,335,110,142,208,135,284,240,89
2008-05-01,16,10,0.6,377,152,296,337,101,144,208,136,286,243,90
2008-05-02,13,10,4.6,377,153,299,342,107,144,208,137,289,244,93
2008-05-03,8,9,3.3,377,163,309,348,110,144,209,138,293,246,100
2008-05-04,6,8,3.3,380,185,331,356,103,144,213,139,297,247,107
2008-05-05,3,6,5.0,381,211,365,364,106,145,214,141,304,250,133
2008-05-06,0,5,4.6,391,268,426,371,114,147,220,147,312,253,181
2008-05-07,0,5,4.7,419,332,497,383,116,160,250,167,324,254,242
2008-05-08,0,4,5.0,478,400,605,413,115,195,331,182,347,257,318
2008-05-09,0,3,4.4,583,352,754,450,121,229,429,237,381,261,474
2008-05-10,0,3,6.0,660,324,895,487,138,302,770,368,435,263,530
2008-05-11,0,2,8.9,807,384,989,542,160,517,863,431,591,290,524
2008-05-12,0,2,11.5,866,427,1075,593,195,609,890,578,965,305,502
2008-05-13,0,1,10.0,893,485,1105,629,225,682,933,1082,1039,406,545
2008-05-14,0,1,5.1,959,579,1120,614,299,741,1174,1099,1069,382,592
2008-05-15,0,0,4.8,979,620,1121,590,394,770,1337,1116,1169,366,636
2008-05-16,0,0,13.1,956,620,1114,593,422,740,1343,1161,1220,310,641
2008-05-17,0,0,12.8,914,600,1117,601,446,694,1346,1183,1246,257,624
2008-05-18,0,0,11.0,896,602,1126,647,514,682,1416,1211,1311,270,594
2008-05-19,0,0,7.2,870,615,1108,717,598,678,1425,1272,1393,266,575
2008-05-20,0,0,10.1,840,612,1077,739,628,647,1348,1329,1445,282,558
2008-05-21,0,0,9.9,810,598,1051,737,609,618,1320,1349,1444,281,529
2008-05-22,0,0,2.7,743,587,1019,740,537,572,1295,1301,1373,254,494
2008-05-23,0,0,5.1,641,574,1008,669,443,543,1176,1225,1274,237,460
2008-05-24,0,0,10.1,621,555,971,599,339,523,1062,1152,1194,233,425
2008-05-25,0,0,6.6,628,531,928,564,250,504,986,1071,1105,231,388
2008-05-26,0,0,4.9,628,521,896,512,186,482,918,1006,1025,221,364
2008-05-27,0,0,3.8,634,518,865,484,166,473,792,920,948,217,331
2008-05-28,0,0,7.4,616,495,838,474,167,457,730,857,875,219,321
2008-05-29,0,0,10.1,557,476,814,459,171,427,668,808,822,233,302
2008-05-30,0,0,13.6,518,455,796,444,186,394,603,773,793,234,284
2008-05-31,0,0,12.8,481,433,787,443,208,359,562,760,793,248,266
2008-06-01,0,0,16.0,458,422,776,441,224,330,525,794,837,254,254
2008-06-02,0,0,16.9,440,407,766,439,250,305,501,848,900,265,241
2008-06-03,0,0,17.9,430,387,777,437,248,282,503,913,938,270,226
2008-06-04,0,0,15.2,414,371,797,435,241,252,534,912,922,278,211
2008-06-05,0,0,13.5,402,356,792,444,241,225,528,942,920,296,197
2008-06-06,0,0,11.7,399,338,775,468,219,197,525,880,877,284,184
2008-06-07,0,0,12.8,394,323,764,490,209,181,521,826,835,267,172
2008-06-08,0,0,13.7,384,312,743,539,202,174,500,783,798,256,164
2008-06-09,0,0,18.6,378,301,722,596,197,171,436,750,773,281,159
2008-06-10,0,0,15.3,377,289,703,590,194,170,385,712,745,261,150
2008-06-11,0,0,12.8,377,277,681,582,185,170,373,676,703,249,143
2008-06-12,0,0,12.5,378,259,668,547,192,169,363,657,668,249,136
2008-06-13,0,0,13.4,380,249,659,536,184,168,375,631,633,243,132
2008-06-14,0,0,13.2,388,239,670,520,173,168,377,600,609,239,131
2008-06-15,0,0,12.4,405,226,688,493,170,162,371,566,584,231,129
2008-06-16,0,0,13.5,410,214,678,471,164,157,366,540,566,225,128
2008-06-17,0,0,17.5,416,214,662,456,169,154,358,522,558,221,125
2008-06-18,0,0,17.2,415,212,647,445,164,150,331,522,554,216,121
2008-06-19,0,0,16.0,413,207,632,432,158,146,298,516,534,210,120
2008-06-20,0,0,16.7,411,208,618,413,153,146,286,495,508,205,120
2008-06-21,0,0,17.4,407,224,611,399,148,146,279,470,481,200,128
2008-06-22,0,0,17.9,404,232,609,389,147,143,273,447,459,197,157
2008-06-23,0,0,18.5,403,224,609,374,144,141,262,429,444,195,194
2008-06-24,0,0,21.1,403,216,613,371,142,142,255,421,433,196,196
2008-06-25,0,0,21.8,403,214,634,368,141,141,244,410,423,191,179
2008-06-26,0,0,20.3,403,218,669,359,139,141,234,400,416,187,160
2008-06-27,0,0,18.7,403,217,684,356,138,144,230,389,410,188,143
2008-06-28,0,0,21.6,402,230,676,357,138,145,231,380,406,192,130
2008-06-29,0,0,20.2,402,230,663,370,141,140,243,377,419,193,127
2008-06-30,0,0,22.8,400,215,651,389,145,132,275,393,451,189,130
2008-07-01,0,0,19.7,397,210,639,406,150,123,295,423,460,190,125
2008-07-02,0,0,18.3,398,210,631,399,151,126,305,435,455,188,117
2008-07-03,0,0,12.9,399,209,629,403,149,133,312,431,450,184,109
2008-07-04,0,0,11.0,399,208,630,405,148,172,317,426,447,182,103
2008-07-05,0,0,14.4,400,208,629,406,146,178,320,420,439,180,100
2008-07-06,0,0,16.2,399,207,624,400,145,176,321,412,427,187,100
2008-07-07,0,0,18.7,399,206,621,392,154,173,325,400,432,184,101
2008-07-08,0,0,18.4,398,202,620,384,151,170,332,398,444,179,102
2008-07-09,0,0,14.7,397,205,618,375,148,170,341,418,444,175,104
2008-07-10,0,0,15.0,397,207,615,369,144,176,342,417,434,173,103
2008-07-11,0,0,13.8,401,207,614,355,147,178,343,405,421,183,100
2008-07-12,0,0,13.1,411,208,617,361,148,185,344,389,411,180,101
2008-07-13,0,0,14.5,419,210,627,377,145,192,342,381,404,173,107
2008-07-14,0,0,16.1,422,211,647,369,140,199,334,373,401,172,109
2008-07-15,0,0,16.5,425,216,671,352,137,205,327,368,395,172,109
2008-07-16,0,0,13.9,425,228,675,348,136,210,326,363,389,171,110
2008-07-17,0,0,16.8,427,230,670,343,136,217,324,358,392,170,117
2008-07-18,0,0,16.0,428,231,667,337,135,220,323,357,402,171,124
2008-07-19,0,0,18.8,429,231,664,333,134,221,328,367,409,168,124
2008-07-20,0,0,20.4,428,223,663,331,132,220,333,372,410,166,125
2008-07-21,0,0,19.5,428,202,662,326,131,220,318,373,405,164,124
2008-07-22,0,0,16.8,430,195,662,320,130,219,292,370,399,162,123
2008-07-23,0,0,17.7,432,185,674,316,130,221,286,367,393,162,122
2008-07-24,0,0,15.2,434,180,681,318,132,218,288,361,394,164,120
2008-07-25,0,0,12.9,435,175,683,321,131,215,290,359,397,166,116
2008-07-26,0,0,16.1,432,172,686,325,131,214,289,360,403,167,114
2008-07-27,0,0,15.1,431,168,686,328,130,215,288,379,416,165,113
2008-07-28,0,0,16.1,430,166,684,330,130,211,304,411,442,167,112
2008-07-29,0,0,14.7,428,164,681,329,130,205,362,417,458,166,108
2008-07-30,0,0,16.5,427,162,676,331,130,196,359,425,465,166,105
2008-07-31,0,0,15.6,427,160,669,330,130,189,341,432,461,175,102
2008-08-01,0,0,17.8,426,159,663,325,144,183,335,429,460,185,101
2008-08-02,0,0,17.7,416,157,660,327,154,182,340,427,462,176,100
2008-08-03,0,0,13.3,413,155,660,340,156,183,342,431,472,190,98
2008-08-04,0,0,13.7,414,155,658,378,176,186,338,454,497,189,97
2008-08-05,0,0,15.5,413,155,657,371,162,188,322,470,493,176,95
2008-08-06,0,0,16.2,411,155,655,363,157,190,310,471,480,174,97
2008-08-07,0,0,15.1,409,150,655,357,163,192,307,463,489,187,98
2008-08-08,0,0,11.1,407,148,654,344,174,195,298,471,498,181,99
2008-08-09,0,0,14.2,405,146,653,344,167,198,290,470,474,174,99
2008-08-10,0,0,13.6,402,145,651,341,153,198,283,450,449,169,96
2008-08-11,0,0,15.4,401,145,649,329,147,196,273,423,429,168,93
2008-08-12,0,0,15.5,399,144,647,321,144,195,249,403,413,168,90
2008-08-13,0,0,12.9,399,144,645,316,141,192,230,384,401,171,87
2008-08-14,0,0,14.6,395,146,641,314,141,190,237,375,396,176,86
2008-08-15,0,0,14.1,388,147,638,316,139,189,229,366,391,171,83
2008-08-16,0,0,13.4,383,148,635,318,137,187,215,361,387,223,83
2008-08-17,0,0,16.6,381,165,634,314,136,186,212,356,383,167,85
2008-08-18,0,0,12.6,380,170,631,310,135,185,211,352,378,167,92
2008-08-19,0,0,14.5,380,171,627,311,140,185,219,348,374,185,107
2008-08-20,0,0,11.5,380,174,632,322,141,192,224,346,373,183,116
2008-08-21,0,0,11.7,388,174,636,327,137,200,218,342,371,242,121
2008-08-22,0,0,9.2,398,174,652,337,135,207,216,342,369,237,125
2008-08-23,0,0,9.0,405,174,679,468,135,222,205,342,373,204,132
2008-08-24,0,0,9.8,419,174,702,435,134,245,203,342,392,196,135
2008-08-25,0,0,11.0,421,174,708,399,132,264,229,353,401,193,136
2008-08-26,0,0,7.8,429,176,711,387,132,272,248,367,410,192,137
2008-08-27,0,0,7.9,431,176,721,370,130,276,259,377,414,189,135
2008-08-28,0,0,8.8,430,177,730,358,130,273,271,385,414,185,134
2008-08-29,0,0,9.8,428,178,734,353,129,293,281,383,414,185,133
2008-08-30,0,0,9.1,427,180,735,352,131,300,285,377,421,188,133
2008-08-31,0,0,12.0,426,182,743,357,131,298,288,384,434,195,135
2008-09-01,0,0,12.9,425,181,785,377,135,293,289,406,438,193,136
2008-09-02,0,0,12.4,425,177,793,400,133,284,298,412,444,185,137
2008-09-03,0,0,11.9,422,175,788,411,131,275,322,415,454,182,133
2008-09-04,0,0,9.2,422,172,778,398,130,271,329,421,465,179,127
2008-09-05,0,0,6.3,417,168,767,379,128,269,326,423,466,177,122
2008-09-06,0,0,3.6,417,166,758,369,128,267,302,423,458,175,117
2008-09-07,0,0,6.4,417,163,751,360,127,262,299,412,446,174,112
2008-09-08,0,0,5.0,416,160,737,351,126,255,289,404,433,175,108
2008-09-09,0,0,6.3,414,158,702,346,126,242,268,395,422,175,105
2008-09-10,0,0,7.0,413,156,633,341,125,232,257,388,413,174,101
2008-09-11,0,0,9.1,412,155,568,339,126,226,248,378,403,179,98
2008-09-12,0,0,9.0,411,155,490,339,128,223,240,370,397,193,96
2008-09-13,0,0,6.1,410,155,415,347,129,220,230,365,396,190,94
2008-09-14,0,0,5.6,410,155,367,363,129,217,234,360,400,182,93
2008-09-15,0,0,5.5,409,155,367,362,127,215,251,356,403,179,92
2008-09-16,0,0,6.9,409,153,366,355,128,217,255,370,405,190,92
2008-09-17,0,0,4.2,407,150,372,376,141,220,258,386,424,205,94
2008-09-18,0,0,2.6,407,150,383,407,153,222,260,409,459,198,95
2008-09-19,0,0,0.8,405,150,387,427,146,221,260,434,481,192,96
2008-09-20,0,0,4.2,405,151,388,421,140,220,258,443,482,189,96
2008-09-21,0,0,3.0,403,151,386,404,136,219,255,446,471,189,95
2008-09-22,0,0,0.7,401,151,377,386,133,219,254,434,459,187,95
2008-09-23,0,0,1.8,400,151,375,377,135,217,255,429,449,185,96
2008-09-24,0,0,4.7,400,152,375,380,146,216,260,427,448,191,96
2008-09-25,0,0,4.4,397,152,374,384,154,216,264,425,452,189,96
2008-09-26,0,0,6.1,396,153,374,392,149,215,265,422,449,186,97
2008-09-27,0,0,5.5,395,156,373,386,144,214,264,419,442,184,98
2008-09-28,0,0,3.1,394,153,371,376,140,214,259,411,428,181,100
2008-09-29,0,0,2.9,393,150,368,368,138,213,255,403,423,180,102
2008-09-30,0,0,2.2,392,150,367,360,137,212,253,396,419,179,103
2008-10-01,0,0,1.1,390,150,365,355,137,210,259,391,412,178,103
2008-10-02,0,0,0.8,389,147,363,352,135,201,263,385,405,177,104
2008-10-03,0,0,3.1,388,145,363,351,136,194,266,382,403,176,101
2008-10-04,0,0,3.0,388,146,363,350,140,191,267,380,404,178,98
2008-10-05,0,0,3.8,388,145,362,354,147,186,273,384,415,182,96
2008-10-06,0,0,4.6,387,146,362,364,149,183,275,390,418,186,96
2008-10-07,0,0,3.4,385,146,361,370,149,182,275,391,423,192,95
2008-10-08,0,0,1.5,385,150,361,365,145,182,275,391,422,184,96
2008-10-09,0,0,-2.0,385,157,362,361,143,185,276,391,417,180,98
2008-10-10,1,10,0.9,384,158,362,359,141,187,276,390,414,178,103
2008-10-11,0,0,4.4,385,158,363,358,143,188,277,389,413,176,109
2008-10-12,0,0,4.2,388,157,363,356,145,188,279,389,418,176,115
2008-10-13,0,0,2.3,390,155,365,357,146,189,278,392,421,178,117
2008-10-14,0,0,0.3,395,154,373,357,145,190,278,398,426,178,118
2008-10-15,0,0,1.4,395,153,378,357,143,194,278,406,426,176,119
2008-10-16,0,0,-0.3,398,153,383,356,141,195,278,406,424,179,116
2008-10-17,0,0,3.5,401,153,385,351,143,193,278,396,423,188,114
2008-10-18,0,0,2.0,402,151,385,353,146,192,279,391,422,188,111
2008-10-19,0,0,1.9,403,151,384,359,146,191,279,391,422,189,110
2008-10-20,1,10,-3.3,404,151,383,363,144,191,279,391,425,182,108
2008-10-21,3,10,-9.5,404,151,380,355,137,186,279,389,419,174,108
2008-10-22,3,10,-12.2,404,151,378,350,131,178,281,381,398,279,108
2008-10-23,3,10,-13.8,405,151,368,348,135,164,281,379,387,349,102
2008-10-24,3,10,-10.8,405,153,360,340,137,153,281,373,381,385,95
2008-10-25,3,10,-1.7,405,155,357,317,140,153,282,356,373,395,87
2008-10-26,4,10,0.0,434,156,356,339,138,158,282,347,321,383,78
2008-10-27,4,10,-3.1,434,158,354,347,137,161,282,343,339,362,77
2008-10-28,5,10,-0.6,436,159,348,344,139,169,283,341,350,338,76
2008-10-29,6,10,0.4,436,161,339,347,137,174,279,331,347,287,78
2008-10-30,10,10,0.1,436,161,331,342,137,179,262,327,345,237,82
2008-10-31,18,10,-2.7,438,164,327,339,133,185,255,327,345,229,86
2008-11-01,16,10,-12.2,438,164,317,336,129,194,250,328,352,262,91
2008-11-02,15,10,-17.1,438,165,313,326,122,205,250,324,345,298,149
2008-11-03,15,10,-16.9,437,166,303,315,129,212,247,323,350,290,133
2008-11-04,15,10,-21.9,437,167,305,292,128,212,247,308,340,281,121
2008-11-05,15,10,-25.8,435,169,315,261,128,212,245,273,440,281,118
2008-11-06,15,10,-24.0,435,170,322,219,136,211,245,359,450,262,116
2008-11-07,15,10,-9.6,434,170,327,259,141,211,243,368,410,282,115
2008-11-08,21,10,-0.6,434,172,332,292,145,210,243,380,367,293,122
2008-11-09,17,10,-0.6,434,174,338,326,148,210,243,372,358,283,132
2008-11-10,19,10,-11.7,434,176,347,361,150,210,243,352,360,261,132
2008-11-11,20,10,-16.0,433,176,351,397,151,210,243,342,413,257,131
2008-11-12,21,10,-18.1,433,177,352,306,157,210,243,330,500,253,130
2008-11-13,22,10,-26.3,433,179,348,307,181,209,242,326,493,251,129
2008-11-14,22,10,-29.7,433,180,348,308,179,209,242,321,487,249,128
2008-11-15,22,10,-29.5,432,181,348,448,179,209,242,320,480,247,127
2008-11-16,22,10,-27.0,432,181,353,506,181,209,242,322,473,247,125
2008-11-17,22,10,-27.8,432,183,358,513,189,209,242,342,481,248,124
2008-11-18,23,10,-12.5,432,183,360,514,197,209,240,352,492,249,121
2008-11-19,25,10,-8.0,432,183,361,515,199,208,240,360,499,249,118
2008-11-20,26,10,-3.1,432,185,362,516,199,208,240,368,506,248,116
2008-11-21,26,10,-15.3,432,185,365,528,200,208,240,370,527,247,116
2008-11-22,26,10,-18.6,430,185,367,520,198,207,239,373,537,246,115
2008-11-23,31,10,-9.7,430,185,367,516,200,203,239,376,538,244,114
2008-11-24,35,10,-6.6,430,188,366,514,202,200,238,378,536,243,113
2008-11-25,36,10,-21.5,430,188,364,510,206,194,238,383,535,242,112
2008-11-26,37,10,-9.9,430,188,362,502,216,186,238,383,533,241,112
2008-11-27,35,10,-6.4,430,188,362,504,224,182,237,383,531,238,111
2008-11-28,35,10,-12.5,430,188,362,501,228,178,237,383,528,236,108
2008-11-29,39,10,-4.3,430,190,362,499,232,174,236,383,526,234,108
2008-11-30,36,10,-14.1,430,190,363,486,236,170,236,383,524,231,109
2008-12-01,36,10,-32.7,430,190,368,476,243,169,236,382,516,230,107
2008-12-02,36,10,-37.8,430,190,368,473,245,168,236,374,503,229,107
2008-12-03,36,10,-42.5,430,190,367,474,243,168,236,357,495,228,106
2008-12-04,36,10,-41.2,430,190,367,473,243,167,236,326,490,227,106
2008-12-05,36,10,-22.8,430,190,367,474,242,167,234,320,489,227,106
2008-12-06,37,10,-22.8,430,190,367,473,240,167,234,317,489,226,106
2008-12-07,39,10,-32.9,430,190,367,470,237,166,232,317,489,225,106
2008-12-08,39,10,-44.3,430,190,365,468,234,165,232,317,492,224,105
2008-12-09,40,10,-25.2,430,190,364,466,233,164,230,317,496,223,104
2008-12-10,40,10,-40.9,430,190,363,464,232,164,230,317,498,222,104
2008-12-11,40,10,-34.9,428,190,362,462,228,163,230,317,498,221,103
2008-12-12,40,10,-18.7,428,190,360,460,225,163,230,317,497,220,101
2008-12-13,40,10,-25.3,427,189,359,458,223,162,229,317,495,219,99
2008-12-14,41,10,-17.6,427,189,357,456,221,162,229,317,493,218,97
2008-12-15,44,10,-26.0,427,189,355,453,218,162,228,317,492,217,96
2008-12-16,45,10,-30.5,425,189,355,449,213,162,228,317,490,216,95
2008-12-17,45,10,-27.8,425,187,358,447,214,161,226,317,488,215,93
2008-12-18,44,10,-38.6,424,187,360,446,217,161,226,317,485,214,92
2008-12-19,44,10,-50.5,424,187,362,443,214,160,225,315,483,213,91
2008-12-20,44,10,-39.1,424,187,364,442,203,160,225,315,481,212,90
2008-12-21,47,10,-19.8,422,186,364,440,200,159,225,315,479,212,89
2008-12-22,49,10,-14.4,422,186,360,438,198,158,225,315,477,211,89
2008-12-23,49,10,-22.5,422,185,356,435,195,157,225,315,475,211,88
2008-12-24,49,10,-16.3,420,185,356,433,191,157,225,315,474,211,87
2008-12-25,49,10,-15.2,420,185,355,431,189,157,225,315,472,210,87
2008-12-26,50,10,-14.1,420,185,354,428,188,157,225,315,470,210,85
2008-12-27,50,10,-18.6,420,184,354,427,185,156,225,315,469,209,85
2008-12-28,49,10,-18.2,418,184,352,426,184,156,225,315,468,209,85
2008-12-29,49,10,-13.6,418,184,352,425,184,156,225,315,467,208,85
2008-12-30,49,10,-24.2,418,183,351,423,183,155,225,315,465,208,84
2008-12-31,49,10,-18.6,417,183,351,422,182,154,225,315,463,207,83
2010-01-01,40,10,-41.0,290,133,245,299,155,83,119,262,240,197,44
2010-01-02,40,10,-39.8,290,133,243,299,156,83,119,262,238,197,44
